"Dépenses 
 Alimentaires","Dépenses 
 Mode","Dépenses 
 Électroniques","Depenses 
 Abonement","Depenses 
 Voyages"
70049,71731,1520,4981,39815
79287,37247,5625,9810,12940
54257,82608,8265,24523,99596
47450,66288,4683,5616,81604
50718,26603,6317,28095,96197
46599,84520,5833,14751,94010
45689,38600,4022,29401,35664
53967,18053,3403,28922,24842
69123,71214,4503,24737,96969
8156,41282,4093,9706,94518
12215,47645,1362,26778,10708
75075,6051,4778,18844,87614
1653,84481,5888,18503,77469
89010,18210,6251,16866,41223
24374,29746,4739,9990,81718
38659,44698,5804,23865,26267
5098,69963,6264,18042,26556
61186,35567,7456,7028,63132
17613,8577,5233,11879,29730
65728,75657,2427,5891,35413
69935,66183,3173,7267,14655
2204,48830,2817,10554,75932
13362,76873,4797,11630,24063
77791,28507,6173,7415,61406
80023,33629,5957,23906,98926
68554,86918,8958,13102,13333
35516,5448,8903,27341,70355
79988,24327,1140,8802,34125
38758,2058,4787,11818,53552
61194,45599,8687,12671,48591
76272,13061,4512,23169,97810
83212,73224,1155,4192,77476
59934,88126,6597,20605,95167
53559,26802,8257,11341,90823
84773,77029,7856,26732,52054
43123,72351,8422,10353,70616
55557,76804,1970,21443,58828
37154,17083,4939,21567,11976
56686,72294,3653,14566,18005
57690,40771,4719,6829,93886
56886,32498,7198,10336,46347
55257,76600,4326,5910,70691
35438,32988,6071,11170,67168
35983,59721,6994,10074,92848
9096,50406,1770,13748,67103
60012,45291,2392,11178,83707
6566,54160,1113,7919,60728
86669,67437,6881,4153,93903
43044,17347,6332,15093,56424
51327,60665,2100,15164,12321
39780,68889,2816,20983,51556
35667,87113,1471,22388,29075
14543,49343,4303,10690,67909
22305,29051,8670,25710,45370
69842,50731,8565,21097,40382
82997,79311,2610,9289,43730
19472,75711,3993,4951,27836
66214,38880,2375,23880,51391
38840,48882,6593,20411,63433
67232,12878,3679,7715,92975
33245,47195,4947,10563,96565
33744,28479,8216,21220,84790
47342,57546,8291,10062,79151
61511,10612,8951,29539,39121
69174,23482,8196,17841,48697
54958,87215,4243,23888,84772
89451,24476,5333,19375,10884
67329,79013,6412,29333,12355
8461,81033,1764,17798,64741
80819,31962,2292,10223,81152
24807,37228,6751,28140,19968
7043,69812,5346,29406,55661
89611,67194,5401,7772,29362
10103,41679,5173,5043,70994
2414,39402,3157,8491,39916
36357,19041,7127,8894,89552
60533,65050,8688,18741,30033
19385,17535,1158,7459,76035
13750,71534,7266,26657,72668
63749,60759,8417,26096,78230
55128,75923,8426,23172,16021
87178,84529,8610,24737,54923
64384,57713,8468,7461,30696
5658,19678,5241,9189,97687
44645,53246,1009,12725,20396
17030,68344,5592,25112,10633
2720,87591,6130,23133,54876
48767,47747,2020,12231,78013
47286,38278,4021,20423,69666
38077,33260,7920,16653,95688
30343,72222,7715,20455,79564
12824,2290,8156,7650,50744
28329,58657,7491,26665,49483
7281,3187,8038,24125,88343
70903,80947,5357,22214,76690
67689,73746,1571,13890,75374
51730,41075,4011,8727,72285
16821,23263,7669,27399,59146
53491,45610,2103,26085,40550
31795,77365,7714,4612,74085
9679,85037,1381,6847,67105
22613,72972,2681,8827,64538
43498,16904,7797,28972,97819
11392,28745,4535,9992,38680
35698,55231,5142,6116,24540
32998,39871,6028,20350,71956
75634,57035,8602,19482,33164
75825,15417,8475,23623,39495
44997,40717,6811,13086,90470
15991,36675,7134,24764,61250
89457,88085,6466,9588,32801
54850,34428,8715,6973,43959
40170,15263,6864,29458,55700
13714,67604,6283,17760,35414
35328,69386,6235,12313,59376
39307,63450,2085,29161,66746
28448,62726,4583,20881,60448
5805,55448,8464,20118,59793
1925,16038,2576,13160,75737
68561,36783,1934,13860,38990
7626,79603,5847,26800,48621
34588,61975,8507,13951,40998
49472,49294,7854,7383,73105
12744,23703,8666,7878,29462
42885,69224,6047,12671,55229
49257,47644,7780,12659,96134
1661,30323,8687,24292,24191
34339,56759,1549,10392,82923
8120,62743,4429,8965,39446
40205,7438,3291,19387,77224
10069,31636,8132,26786,23133
65226,41235,4311,17029,93344
86426,79327,1507,19110,81171
55850,45534,7941,19902,14111
50757,15649,6012,18498,74949
29988,82038,1541,26613,78162
19694,35386,2170,14101,93459
84991,19296,8869,6341,60119
50616,81420,5131,27846,93083
22149,49596,3715,21853,44722
45009,31715,2763,18658,87097
46952,46140,1713,24562,96510
72795,22492,4897,29549,49304
85858,70171,8909,10492,36922
63257,83725,6241,29188,24125
36214,33153,5552,20869,76104
68312,1222,7805,18750,30656
87953,62800,5234,19179,18980
46459,58717,1601,23170,68209
75539,50159,1954,24886,36747
59238,6523,4908,7021,13484
52408,32084,5808,16368,18056
77934,11997,3975,18260,68230
3352,16674,2289,6295,21493
36158,75711,7329,5433,91642
72558,5608,6690,5659,42435
40342,55124,4550,18320,99601
4821,26446,8362,18604,68659
82304,87929,2033,14406,35678
86793,89406,2126,17204,33178
37558,76152,4830,19663,26016
77108,18000,4805,6536,27332
25551,82095,2974,4080,59317
12627,78652,2663,21446,50411
15916,65477,3373,19828,61155
63160,15735,4605,6369,68692
11998,60663,1153,23783,71806
89373,20059,6106,24873,83987
70894,24759,1102,23181,42575
23006,2286,5607,10889,73285
9049,14749,8999,15559,30225
2934,57719,3196,14850,25328
2796,40511,5560,8592,75655
65968,18941,6720,24438,18378
55015,30619,8369,12544,22011
80045,27814,2821,27064,93703
88965,67519,7640,11181,97687
6035,79019,5473,5578,16529
4653,30077,2364,18438,89063
83797,32935,3525,5547,26968
29022,53210,6532,28250,56810
81201,32608,6468,7645,79718
67372,27360,8394,25338,55377
32093,56560,4837,24361,65721
41422,5325,7266,9283,55220
84311,27675,6777,5464,37766
56209,58151,8108,13639,10472
58910,47561,2560,8711,96137
7670,64712,8246,16566,63801
81549,5828,4073,12143,36470
39681,60358,3439,6541,85290
84790,33785,2916,16818,89919
48411,65458,4222,26670,95123
84628,33655,4037,10063,20108
12954,32486,2220,11315,12656
14732,51319,4010,4039,63140
52868,62976,7326,12157,34286
9712,50112,5486,27043,50544
7439,83923,1578,21859,11962
70736,34370,1071,10684,47186
36874,81521,5880,14540,80098
14471,34334,7861,10919,14673
58410,21419,5898,9229,58933
67520,20888,7548,9352,14219
44962,42183,5424,17307,68230
49236,2458,6642,17126,96247
78694,67596,3732,5520,87098
17028,17390,8329,6225,48073
51303,86026,7417,24136,37922
49642,8588,7944,29321,15797
38664,20272,2340,29546,93117
22514,63037,8819,22072,27671
53872,8165,3173,19903,86754
17428,24005,2018,25771,96462
34975,13945,8295,14294,15413
56595,19481,8214,7457,25486
7913,50373,2275,16401,85704
89161,55804,2533,5673,87294
67979,86601,1068,29483,62629
38364,67477,1741,21041,16138
81578,20850,8575,23576,74783
8406,39456,5888,5663,25256
33644,53323,3039,24175,14536
1207,68669,1125,18195,39861
57639,88934,7238,16384,85413
74726,32855,1330,25612,52669
21777,81356,3847,28964,41708
71126,22302,2968,29585,80974
31947,89425,7377,28100,49090
78497,8379,8099,5856,87365
56232,9162,2036,15583,39157
87675,64498,1485,14351,59810
64582,48097,2707,12928,75142
11033,84584,4200,25682,87851
14220,30487,6092,14629,21443
74971,77834,2495,27070,55912
86496,12160,5346,5254,37922
31973,56943,7966,25535,83347
55948,17683,3718,24608,13180
21043,38633,8958,10521,43445
44533,61700,1202,15565,53764
51180,55094,1549,27726,39712
38806,28531,7712,16034,85827
50249,76654,3573,28184,18524
66340,25723,5820,5965,87785
48620,75123,1482,15116,87171
40267,3909,5797,10162,75406
35690,43969,2268,24225,52981
71939,86540,2672,28944,67441
29789,22278,2786,23324,40182
56305,84809,3758,14082,85274
35964,86846,5694,27553,75937
89852,16124,4729,4215,11956
16925,12714,4534,27529,41830
61009,29465,8007,12096,79864
11436,54524,4698,24715,76742
33840,81701,1107,19846,87611
72015,88358,5204,15491,28180
86317,83731,3492,19777,33094
27414,64161,1417,28976,57499
7207,84727,6310,28112,91336
83106,20205,8347,23421,28122
27310,73571,1929,23719,13234
27139,51527,7035,25587,14690
23140,57160,4484,9907,83219
15377,35760,8694,8267,18835
88442,11307,3126,22484,94165
17518,84866,6759,21112,19200
65738,66958,5483,16313,87663
64722,14987,1905,18392,61405
15804,27987,6362,22467,38118
62357,1988,8666,4555,78873
10475,27886,4873,8815,21382
14170,6613,4421,25001,38020
21794,62841,4888,26011,97278
82020,31370,3693,11495,41120
42489,81491,7996,9339,93794
58752,21314,1757,6326,54779
74204,17440,6633,27681,85426
85153,89152,5256,12503,18953
28443,81535,1612,23611,87145
70948,79566,8436,9926,45938
49817,46482,8015,11454,44563
57370,33141,1365,9800,75556
12301,47451,5797,15411,17890
7438,48120,3386,18844,65457
34333,17321,6058,9284,14993
40778,35945,7404,8550,55017
76794,67153,3130,21612,59331
82224,69475,3744,29687,26467
64334,78331,5079,22193,80587
54079,82122,1552,4147,97300
87542,86748,5563,9035,21930
16698,41815,2625,7870,58073
77529,8683,5271,27687,54679
72588,42180,8983,28876,97411
77537,32606,5311,22976,18383
56285,1694,6785,25938,34250
73133,41796,7620,15626,79446
76530,85400,6792,11440,18811
3650,83721,8385,10184,31690
41462,86525,3452,5787,77638
55677,41775,5616,29585,64941
1845,19033,6558,7810,44457
74888,26280,8835,21941,45592
5225,5238,5003,28606,75205
39820,14722,4331,5456,86298
79956,64970,5380,14241,82999
66102,50919,8744,19080,21719
49130,72231,5338,27953,60328
30370,40786,4723,12003,34745
47281,54418,8096,16743,92548
26819,2158,2503,12928,47679
47647,50729,5643,18047,52129
61170,39130,4764,25470,94044
48372,7669,2167,4302,27166
66398,48181,8755,13048,43296
58852,64944,4302,27366,26526
62973,3663,1547,10884,53996
13591,58899,3618,23955,34720
59169,45675,7088,22823,88399
6769,42212,4921,15185,70851
15125,77317,1453,7660,62973
78699,14584,4029,25303,65076
18569,39208,1655,14056,36622
69290,3454,6876,13243,63935
84411,4272,8864,20863,34745
59101,58790,5068,16183,43797
82272,58708,4095,10317,74501
2776,35524,2223,8390,66693
86121,1157,1820,7796,73009
1014,34662,7426,25283,39281
17223,3313,4623,5753,50544
83054,4685,7685,9205,61486
60131,23538,8078,11372,78783
63891,10586,1063,17423,48407
52749,31688,4054,4415,30110
53966,58532,3975,6642,34366
34766,14681,4377,21385,26077
54998,35413,3601,6046,12111
16743,76820,3989,25798,23268
19622,25950,4335,28904,78434
39328,44523,8255,22770,44133
56313,55964,5557,10630,97962
7913,35310,5983,7015,19672
23687,10273,6014,25569,78313
67469,49418,1443,5260,78248
57562,39460,1646,28334,23930
88589,25506,7658,15190,64763
58455,37588,8325,14735,37812
41605,54766,7633,24253,63334
18413,10630,8321,8659,64239
30908,65897,1222,26194,29030
75977,28226,7202,12208,26536
74596,54232,8726,20500,72419
73871,35762,2300,14190,48664
34555,6094,4755,26732,83042
38132,57062,3671,20800,10365
40657,35468,1094,27467,15158
83622,79274,7977,9265,27928
54235,17843,3620,17360,43769
38973,8071,7273,21662,77450
51297,70378,2643,11031,96322
70587,59287,2011,15563,81446
5508,61870,1284,11631,93820
17340,37975,7910,29912,66689
83399,37181,5803,6267,58041
19204,15669,8586,10443,36105
73143,35121,6396,27116,21965
87249,1167,6537,26058,48724
66335,75403,3458,8179,80956
29074,56704,7381,26317,63169
45425,68753,6950,23107,17820
68848,77235,7780,8021,88735
55726,77609,1464,4986,19878
77526,15378,5840,13345,21182
62333,84750,5967,12359,40484
81555,27569,3906,12982,47774
57834,72512,3743,26513,63758
32388,45449,8400,20273,79816
66927,35558,1799,22901,11757
66130,28525,3292,27028,10607
66277,76027,5485,14821,79505
66615,33911,4338,5664,84557
22033,51514,4895,28404,85166
67326,63756,8778,17035,96511
45482,38726,4696,4032,84332
54747,73067,7573,9689,99490
2331,29075,4890,13028,68485
56184,1475,3777,22208,36072
79923,35302,3245,16345,67734
73986,85946,2867,5706,46155
31759,72499,8584,12499,51988
67431,53145,6715,12446,60915
30975,65322,4512,17868,79304
47157,56215,4007,5165,93772
24630,23909,8354,13804,39446
80600,5077,7447,29559,26947
17319,78329,5783,20819,17972
35897,84547,4905,7287,89768
83959,19884,6718,18209,44686
8272,42689,5242,23519,70335
69815,9902,2992,11231,59438
33152,43281,3371,13108,95046
47998,31923,8022,6166,45207
63318,28316,5619,14581,44666
74262,41414,1807,27742,42309
46492,71986,1753,28854,77890
71419,42520,4643,10760,53383
62008,83953,2916,20725,76012
28814,25941,3939,15092,52102
19312,53045,5544,24723,21528
75411,29960,7420,16365,35706
39144,41516,6889,18646,22735
3144,17277,4935,14447,17752
8729,10623,6484,29811,56163
53138,60312,3580,6250,47120
63253,63478,8255,14832,24614
7749,82198,7926,28401,28749
20957,45590,8274,22574,58608
54282,65011,1156,10900,45708
40236,2506,6451,12681,47351
70641,11414,1292,21589,27342
76939,6730,4163,16710,73737
9248,75593,2397,14011,66521
16576,19059,1909,21094,96651
46074,26857,7398,9345,24056
7122,84065,2985,13976,40162
49957,26264,2872,23514,67098
38948,9457,6712,17540,34836
62782,2061,5428,27547,41714
3999,32151,3541,14126,79268
86716,76782,1547,21206,37178
17464,48744,1884,6662,48242
19060,9286,3051,12196,28193
57381,21303,7886,8622,81093
25393,84099,6651,26283,31958
29106,46781,1584,7601,46385
72851,56871,6141,15355,78129
67326,8343,3966,21505,16965
19944,18555,5595,15415,16935
60502,68004,2092,24828,81469
51650,56790,2774,16019,19709
13177,69932,2532,25069,15682
4603,33954,6019,12440,33359
58753,83824,7964,10775,71760
74942,52554,3032,21120,10444
25238,34108,6982,13598,61044
43909,22249,3366,20128,49689
48729,62893,8205,4539,76781
1543,46243,8843,9085,14176
78340,5863,3317,9503,19543
28005,73106,2512,25451,39602
46857,59860,5920,28505,22578
19147,57465,8796,17215,23946
8244,32269,4971,24057,30044
87869,38685,1360,16205,52762
36318,69601,7498,27485,21127
53010,13545,3343,24636,36588
11231,7222,6447,8337,68159
23066,65604,3937,5562,57100
62855,33006,6139,23502,15290
88839,46186,3868,29613,47917
47390,25481,1388,27671,32466
40267,45109,8539,20584,64781
83382,65500,6889,5671,47434
31279,6947,2391,13757,85015
38385,79590,6605,24669,55366
42921,20260,4232,28743,48780
58773,9999,6238,19020,91455
30927,64671,5152,27447,99090
84306,27961,3387,22380,24571
59866,2023,7749,22236,95067
43842,78707,6652,20168,54688
88428,27404,4576,28793,68870
57733,67003,6132,6910,65963
88178,82231,8750,26515,66953
62918,75336,8216,26215,98943
56178,52109,5754,8416,70125
76065,44508,2530,7830,84166
52306,37492,4775,24842,13711
3555,63182,1594,17331,32953
69712,23716,1755,27282,21155
47741,77772,2397,25197,49439
77425,19929,7023,28705,22987
1106,45383,3510,6664,13143
73676,7767,6237,19358,44013
59582,28438,4204,28386,93401
22623,42214,3031,18468,25859
43569,1897,6940,20282,12291
59066,86914,2508,26297,86440
71418,19622,2426,17656,46283
12910,76903,4461,12584,58822
84741,33766,2783,9282,51768
10761,54578,2154,13566,23528
41886,14225,2371,21436,46611
38999,10472,4004,11381,24763
60600,83944,3346,4767,45522
4007,31659,1283,25689,55262
1403,60610,2578,13181,52862
19755,72653,5912,17008,16410
80625,79683,7731,13219,52151
35857,52774,8797,5434,50242
25475,5603,2648,24548,68262
18225,39796,6799,9018,68462
8251,77639,8055,8286,23122
11523,29530,3287,27558,25407
14145,62272,6683,18876,43035
49098,56371,7746,22333,27015
83579,28438,8514,22603,36580
2681,85653,1035,18935,50918
79148,57592,8771,11484,33751
89535,11221,7085,19719,92893
43352,76764,2680,22739,12663
70469,34272,6960,6912,53575
22642,66403,5460,8699,60731
36121,26879,2513,15834,76862
45994,17538,4410,4637,87214
86204,69144,1382,5512,28786
61200,75690,3952,8658,17377
10456,46205,4105,22972,41645
71166,58040,1510,10533,22909
63117,82069,1872,13410,50906
76985,80865,3486,11473,53309
11802,58572,7423,6370,68798
77915,2925,3896,24285,60764
72578,84267,4257,5141,72767
76694,55043,3693,25102,15571
50119,57127,2078,20293,53826
22957,39924,1316,6591,38231
7771,23549,8735,20294,68235
58257,47807,4842,13859,21965
55546,4662,1354,24842,32609
19868,14910,6063,19336,78144
52526,75169,5598,4002,59133
15081,36119,8824,25049,70799
89966,34016,1992,12040,92110
35339,6569,6176,12014,37283
67972,27218,6511,17254,19916
60348,49687,4232,7433,45139
39801,9153,2052,24625,59189
49504,3818,3421,21868,21145
18731,51024,5421,10311,84742
41644,72766,5218,28871,55285
77024,42775,6573,11045,10208
89607,66068,1419,4107,77364
2559,61496,5821,17420,17095
29511,5960,6628,4660,20772
71118,37596,1746,23203,31887
80117,61621,7071,26426,13832
77929,6814,6152,12841,53789
28204,74634,6156,20772,77483
12983,43491,6372,5342,81858
83038,1821,1957,18483,66112
46524,78053,1177,5739,26793
44212,53771,6440,4148,80183
73181,6501,7005,24571,55276
58377,2867,1299,7103,17954
14429,2172,3371,6092,22140
31527,89265,1914,6799,84353
80946,18450,2560,17627,96170
65178,36002,4744,7635,93766
80705,29075,6944,25592,83531
14865,76985,1285,28293,38528
10011,57738,4490,19017,11740
3498,86915,2765,28078,19700
29549,25265,5947,29690,35378
49781,7506,4339,4462,42700
53359,19854,6893,27142,94436
88739,12530,2888,29429,93514
3098,28814,4842,6036,80571
57666,1675,1772,27587,18352
60173,4236,4118,28976,56421
71345,53899,6213,11344,45730
55665,31007,7657,26576,35898
71010,27691,6518,5331,61047
89430,84496,5348,10077,37477
66403,67398,3414,27017,33197
22379,51631,2492,20774,11480
5540,7697,5577,7680,31531
17909,83779,2507,29530,72500
85934,14154,3536,10860,77699
43358,71081,7125,6529,18939
66619,84587,8040,21350,40300
49436,12647,1917,23330,55923
60924,56734,7323,28817,24044
79885,19911,1202,29405,69514
11622,29534,8325,5796,92968
53910,53102,7718,20065,26296
55998,59535,7495,16689,11118
35138,8780,8573,29732,27561
3378,40834,5094,26644,75055
40731,81460,8343,29605,52124
85262,70301,4418,28885,33735
19881,72442,1052,22448,34329
18125,44411,7797,6961,70675
33748,7394,5848,16244,75792
75360,67816,6220,6713,98863
40563,73345,4211,4733,19553
53835,72806,8342,18632,96585
70514,10898,4175,14521,26645
82123,82248,1879,16233,95260
18279,86159,3775,20420,17126
23894,68445,8899,17430,92457
13325,15615,1367,22231,55604
59952,24575,3743,9940,20197
35155,59701,1588,6224,42661
48655,72246,5167,11880,58219
36487,59622,6261,8213,61624
30478,49183,4445,4514,17814
15323,13103,8096,11778,31160
70792,1046,6312,7539,29518
8412,79026,5028,17387,70358
60049,41634,6008,5758,57307
63922,45381,7603,4883,84611
72378,81708,5837,27736,40427
63392,89878,6956,16332,46627
76129,54055,8984,27754,62089
7357,10838,5621,17238,86689
74312,47337,3804,6028,60705
47919,54391,2443,20566,67628
16580,27115,6138,25085,47337
28769,44833,5659,25892,79830
41085,14800,5280,29063,84649
45371,35365,3499,8277,31444
88652,9683,1456,16318,62039
50144,18537,8923,26987,74081
15459,47921,4825,22084,28596
68869,37799,7507,28467,27047
29661,49696,1874,9246,64574
56244,13182,1304,26511,97108
22016,12354,4971,12474,12035
85071,30145,3065,13346,94211
22924,36261,3884,8554,62789
42836,80319,1763,18197,16814
51315,38206,2321,13838,41813
77176,10671,4240,24514,84917
17425,43061,4003,7914,57102
47083,64316,7586,21130,68086
65951,66453,6417,5771,20459
45579,55452,3858,14484,12780
41673,5847,6252,27975,69270
39746,50001,3323,21211,71258
50632,88611,1458,28936,65829
57795,7844,6179,18169,53477
55178,1547,1457,19667,11815
52610,35562,4292,25239,45791
87418,43217,2907,27319,88149
26874,33515,1394,10813,53166
81504,30616,3206,13950,77258
83570,76668,2312,18414,41919
7565,38839,3972,5540,32059
85767,1510,7047,11494,27146
36893,12963,6575,19253,54610
49858,40862,3283,21410,74663
50569,63445,4950,11935,19416
38181,67891,1925,4498,11208
27090,41652,5135,25265,81397
19135,87740,7101,13996,81730
42234,18972,7953,20126,32395
38272,89470,2668,24076,25151
6266,7301,5885,29338,37247
78639,2385,5510,18252,61673
45638,54669,5205,16584,19996
75432,83499,1394,9271,40511
58275,17488,3189,12024,87134
58627,36546,6541,12891,84844
38484,72997,2224,10036,91371
13310,58438,1649,8856,56619
44974,42847,8794,9643,67926
14946,85376,4619,8645,33744
28009,75052,7146,16051,16407
64218,52528,2870,13783,18598
70987,61716,7448,26229,58281
2607,1319,3885,28007,91493
75552,25199,3339,25590,34411
23271,36030,8393,5368,33232
57049,51157,7053,28119,70194
68585,60255,3772,21210,85367
88787,27117,1990,11504,71009
69158,85408,4325,16991,62987
6040,55156,2835,26445,77058
50336,56115,3736,8654,61117
13154,21164,8841,5781,77363
6892,53094,8958,27667,52540
72902,29273,3763,12305,37156
31001,88028,1408,26356,45952
51078,80433,2321,28844,40379
63764,70112,1673,13367,40736
29881,17588,8114,29215,94506
29448,64566,5865,28591,39182
6005,87339,1191,15738,45579
84368,75240,1967,14090,84255
13016,28569,8096,10847,16731
6867,22616,5937,25295,20716
20476,86757,5331,20343,51931
1799,54005,3838,7843,35541
67986,35116,8786,12162,96034
76107,12999,3236,23074,12127
32304,38313,3613,21429,52268
84665,85306,6965,19826,18235
64732,33777,2631,4478,64978
52640,61900,5465,27809,68315
39601,40998,1593,9911,40479
75792,36354,1566,24858,74481
22876,54448,1120,17873,72318
44015,55631,3439,4190,49512
9887,29802,2619,15482,51358
62120,76260,4783,7616,51942
20291,34571,4616,23778,24910
87667,37315,7927,12795,43627
79830,46552,1025,9825,75199
50371,16082,3040,16655,60361
1762,44225,1540,20521,88710
54724,48529,5565,8179,71186
72017,58592,1111,11232,39945
63059,16943,2734,23067,18120
35409,39295,4018,4019,31577
43123,56198,5109,23097,21174
63980,86725,7165,22841,83358
63585,58164,6527,18862,18899
69935,36218,7985,18687,76197
16191,58272,6552,27537,62780
20718,46731,1397,26092,85166
25731,48007,6846,9659,20354
57787,86185,1459,10754,11740
60723,55560,6877,25103,44565
53614,15324,4341,13666,24216
59984,46610,1390,19308,53055
69309,88745,1175,9747,38474
60781,39363,7383,22986,56152
53446,35359,5342,23868,48297
52119,48642,7254,22086,11392
6710,75154,4846,20846,83683
17188,88982,4483,13927,58597
82240,35150,8829,28460,44264
37414,3772,4545,27785,42670
68238,26313,2710,16143,52419
67141,36517,3940,18587,59545
8592,64092,4908,26221,73077
14618,75053,2338,10675,55861
61558,42829,1178,16434,72590
8792,69885,4141,8713,67513
55039,26703,6360,15503,66953
25913,5343,7877,26310,54695
21321,45365,3922,14100,45517
85371,56219,7971,20261,84750
66912,75034,4085,13188,80750
61831,16271,5401,25422,21982
9656,29387,5145,13519,29101
56921,72481,8884,27222,45675
25989,80773,8864,17959,96143
71118,62705,2712,8201,33486
18369,50178,4921,10536,98462
28518,42234,6241,27616,25459
75488,87363,4806,27003,26745
11716,7286,5027,10652,31010
87578,6938,2173,12604,96647
86006,77138,8066,27404,58126
76789,63352,7465,25345,43432
25959,82379,4084,28467,87389
7705,38454,8996,13082,41983
80772,19948,1815,27997,45974
27813,85072,8730,7561,96867
36653,35111,3631,24325,11778
61513,77540,5425,16608,71214
18617,88810,7330,28811,59980
6421,13799,8458,14580,12661
15673,84566,2201,18452,53366
27016,36000,2826,13579,92659
71216,37952,6229,11040,71689
58362,68122,1210,28282,48528
65835,22216,1900,28890,62606
49479,39966,6553,21363,77192
46687,45614,8725,25964,45864
80695,37951,4257,20126,56648
51636,66170,7624,15406,91393
32002,42742,6003,22233,93201
82384,68010,8320,10618,61401
69496,63748,5689,12069,22114
45945,17866,7830,9276,83380
4770,89488,7939,15819,23089
16790,29394,2202,18258,48018
61962,78870,3782,28143,53664
2664,55665,2765,22716,56931
4099,42934,4482,25257,65573
15074,19179,8687,20775,63767
32127,20953,2050,24815,84770
17342,83143,6580,29682,63066
25778,87660,8600,7927,62018
83764,76306,8900,11993,85022
59973,81551,6475,16409,68515
75935,31737,6029,26603,73958
66087,24943,8223,12747,37569
83447,77229,6828,8214,51620
49781,7217,7558,25419,71310
81196,8034,8014,24576,61878
41931,11459,6347,14308,19497
81752,29708,3812,25216,81442
40620,9014,5467,16492,68691
47719,87187,5272,22138,34561
33506,26620,5917,5585,98509
21312,69532,2023,11260,15036
47438,70940,3808,15407,18939
7572,87038,3517,12172,60621
8856,7402,5145,9411,85431
46964,41489,4617,9917,75530
27412,57513,7153,21225,78312
85370,4924,5114,21940,76881
35288,40633,8161,22273,55139
49326,23901,7873,12923,15322
1242,18861,6156,24311,66639
85341,17702,2299,14579,84357
62823,31696,2181,25427,20590
26704,20398,2916,12481,17944
51992,32986,5237,9471,84803
17071,16616,8776,21641,53398
61876,14504,3225,21740,98651
16702,51814,7532,20952,94936
59567,58144,2366,7254,68868
25709,44306,8919,27201,50267
5038,85766,5266,25221,49495
13863,84281,8592,27099,52956
34352,29965,5163,23050,49655
57332,74950,6934,27545,92201
59537,9981,2399,23857,77057
4490,14651,3722,10604,59607
49749,37139,5537,13052,91933
70885,19005,4435,17355,96539
24410,23081,4219,10583,26159
47051,81139,7119,11538,92681
47574,14570,8447,12522,66142
9843,83184,7669,23327,98970
61316,82478,8958,12725,13431
66271,86253,6115,9873,97483
60908,79176,8186,16100,94831
64042,87596,6129,11698,53580
48579,1481,7475,12238,15988
74003,12213,3724,21969,49818
55755,72922,1849,5512,32454
65682,89644,4603,13250,80963
28761,69103,2361,21333,44870
70517,88827,4307,15531,33149
14125,50257,8046,20300,80924
32545,17810,5251,22947,95593
28082,67290,1357,22391,80836
3802,46187,4917,22243,97847
57047,81874,6833,18173,77891
30879,49527,1503,18501,97852
17244,70965,3448,16700,65100
12286,34317,4245,10097,43088
20255,80492,6048,10321,40135
2902,15232,1165,25058,92354
32823,10644,1205,13004,34434
29531,44036,7833,17427,48050
11448,53667,2394,5364,22089
88327,73346,4639,4199,19940
27709,47248,1096,16966,69887
20994,4272,4041,5039,35521
14905,51463,8819,25991,28694
47623,46569,6305,21428,47879
76007,77535,8135,10886,91730
26432,62495,6651,25103,91142
81569,79201,3183,9006,44076
47079,82197,8368,27674,16042
15082,51063,8192,25659,65469
53301,75550,2316,8269,68039
57961,76497,2404,24688,10876
54323,3072,4098,10985,52993
43430,30160,1848,16075,60132
73241,56498,1060,11318,85294
25892,47016,1285,7824,50418
67885,76294,3746,12518,12929
41564,89746,3301,27172,20659
46369,19932,7562,22588,80589
67717,69061,7547,27411,66018
49407,13077,3782,21722,48976
85132,62968,3142,14052,55449
47266,89698,5686,23359,72614
71611,78088,1603,26262,54901
26329,80291,3330,10677,46306
68627,80512,3284,19554,27827
23467,7121,3760,10323,69912
22538,68827,1406,5416,57246
41172,73072,1421,23627,67638
19686,77460,1975,25469,97857
13834,33510,3220,20792,26810
43172,3945,6955,12971,72444
54433,1336,7020,18838,26144
16509,71921,8604,27619,60771
31481,50288,6014,26000,58508
70018,20661,4200,15776,87183
57671,25449,4109,6322,34317
70185,79703,6796,13248,73001
71420,8934,6686,28148,39647
63639,32072,4072,9546,91217
32737,11721,1008,18877,91201
18765,25077,7315,14923,42059
65569,41736,7299,14428,49322
10202,42697,8865,11209,68943
1568,72909,2246,29291,47567
4298,67076,6215,7690,41404
47495,34781,1527,5213,84276
61040,18251,5057,29155,73033
82787,81191,6018,10589,92631
86096,40565,6276,13310,81856
5955,31070,2316,23974,40292
14060,64907,8570,15971,34127
76870,12189,8372,19720,65797
53609,17462,8210,7065,82574
24205,85471,2412,19634,47752
52195,15494,5912,19928,96144
12305,54702,2497,18678,36073
6659,88888,1496,17927,91181
76500,12026,5867,6586,42366
32173,67306,2682,27551,87622
41226,4457,2606,14726,12255
58411,16308,5782,17185,85336
1966,69821,2561,28384,93777
85910,28018,4145,24667,50929
74750,42831,3871,23668,86425
2227,2883,8378,25265,39886
31632,30082,4383,6437,18461
52215,8976,8994,18570,62881
76932,16553,6001,17243,37484
57177,78957,8291,11256,89734
83279,70659,6426,24970,87818
82709,39103,7859,13071,39998
